pH;pH_is;potential_temp;practical_salinity;sigma0;sigma4;depth;d13C;DIC;Alk;AOU;Omegaca;Omegapca;Omegaca_dic;Omegacap_dic;phosphate;nitrate;silicate;station;lat;long
-999;-999;4.368619443;34.228;27.0067398;44.76652851;849.88;-999;-999;-999;298.4460615;-999;-999;-999;-999;-999;-999;-999;2;27.75;155.25
7.2919;7.5178;4.370670536;34.227;27.00573166;44.76535825;849.14;-0.573;2349.78;2345.71;298.4176834;1.126056777;0.763266602;1.180042655;0.805555611;3.092936611;44.26453055;111.33;2;27.75;155.25
7.578;7.6897;1.096661517;34.693;27.66201096;45.66879146;5536.701;0.105;2321.3;2441.91;211.7902799;2.181455668;0.564612228;2.563002603;0.680149816;2.67322705;37.41066775;145.11;3;35.26666667;150.9833333
7.5784;7.6924;1.097020013;34.693;27.66198676;45.67006925;5483.914;0.151;2325.7;2439.28;212.0091147;2.180891795;0.570713135;2.469756966;0.659086524;-999;-999;-999;3;35.26666667;150.9833333
7.5776;-999;1.0980607;34.693;27.6619165;45.67244109;5382.108;0.108;2331.87;-999;211.8309269;-999;-999;-999;-999;2.518257366;37.48206216;144.79;3;35.26666667;150.9833333
7.5768;7.7027;1.09981299;34.693;27.66179816;45.67645145;5207.297;0.107;-999;2440.09;212.1734577;2.174329835;0.602345061;-999;-999;-999;-999;-999;3;35.26666667;150.9833333
7.5772;7.7119;1.10119372;34.693;27.66170489;45.68100331;5009.315;0.143;2323.17;2438.14;212.6862695;2.174383418;0.627909185;2.486959408;0.7331737;2.657084375;37.33927335;146.06;3;35.26666667;150.9833333
7.571;7.7262;1.12013946;34.69;27.65802514;45.68670503;4512.588;0.112;2328.24;2442.07;216.4868278;2.149746511;0.688220422;2.47492949;0.809480318;2.537628576;37.62485096;151.13;3;35.26666667;150.9833333
7.5596;7.7348;1.150942828;34.686;27.65273439;45.68890492;4007.273;0.033;2336.04;2442.33;221.0846287;2.09901683;0.746201124;2.378695276;0.861997907;2.595742208;37.98182298;154.62;3;35.26666667;150.9833333
7.5246;7.7276;1.272215539;34.673;27.63398733;45.67224406;3211.32;-0.014;2355.15;2444.32;236.0207659;1.950908347;0.816335554;2.168209974;0.922644583;2.682912655;39.26692226;165.23;3;35.26666667;150.9833333
7.4811;7.7009;1.46718582;34.652;27.60339006;45.63085477;2603.642;-0.238;2374.49;2442.06;253.4638809;1.776496073;0.839630515;1.915279338;0.916706225;2.824968199;40.40923272;170.01;3;35.26666667;150.9833333
7.4271;7.6561;1.744798156;34.622;27.5589458;45.56434966;2103.525;-0.411;2383.87;2438.21;272.5839678;1.579237363;0.82147036;1.768751138;0.938132202;2.992852023;41.48014879;165.77;3;35.26666667;150.9833333
7.3907;7.623;2.031687657;34.59;27.51124343;45.4906064;1799.302;-0.493;2386.28;2430.02;285.4861682;1.45436388;0.802212826;1.653988113;0.932798891;-999;-999;-999;3;35.26666667;150.9833333
7.3407;7.5724;2.423515367;34.539;27.43870317;45.38145829;1501.554;-0.518;2396.81;2426.08;302.1049131;1.301738831;0.757561234;1.510881639;0.902060459;3.121993427;44.55010816;153.94;3;35.26666667;150.9833333
7.3028;7.5336;2.844342839;34.469;27.34670551;45.25031002;1253.112;-999;2393.14;2404.25;313.9042586;1.186341191;0.72415666;1.335990784;0.831864633;3.286648716;45.40684101;144.51;3;35.26666667;150.9833333
7.2771;7.5082;3.192718031;34.36;27.22855053;45.10197327;1049.643;-999;2389.35;2385.55;318.3705802;1.11088452;0.706612095;1.205447517;0.776907426;3.173649988;42.47967044;132.74;3;35.26666667;150.9833333
7.278;7.5098;3.780284641;34.239;27.07613985;44.89548281;852.909;-999;2365.01;2359.18;306.5300258;1.09878003;0.735921412;1.174772359;0.794997148;3.131679032;44.19313614;115.36;3;35.26666667;150.9833333
7.29;7.5233;3.958680779;34.184;27.01468658;44.81840845;797.459;-0.521;2345.23;2347.23;297.0754248;1.121429942;0.765016322;1.228189102;0.849654499;3.199478269;43.69337531;108.37;3;35.26666667;150.9833333
7.5622;7.6964;1.145743374;34.689;27.65548594;45.67083991;4952.212;0.07;2346.43;2446.03;223.7757133;2.113850069;0.61481125;2.297017287;0.677178367;2.586056603;41.97990961;-999;4;41.75;148.2666667
7.5626;7.6989;1.14492887;34.689;27.65554143;45.67211583;4905.31;0.033;2336.33;2444.64;223.7528888;2.114405108;0.621138718;2.405849381;0.72136886;2.605427813;39.9094719;168.3;4;41.75;148.2666667
7.5636;7.7044;1.146758776;34.689;27.65541676;45.67411995;4805.935;0.043;2341.78;2445.38;223.7897684;2.119503798;0.636056278;2.346677388;0.715772607;2.544085647;46.19217946;166.3;4;41.75;148.2666667
7.5607;7.7075;1.148411165;34.689;27.65530415;45.67721503;4659.696;0.06;2352.12;2445.81;223.925213;2.107004473;0.651515828;2.22387426;0.693747298;2.589285138;39.83807749;167.3;4;41.75;148.2666667
7.5613;7.717;1.149751741;34.688;27.65441371;45.68081491;4456.924;0.092;2348.17;2445.29;223.8859766;2.109180098;0.681031908;2.265764583;0.74004027;2.524714436;39.33831666;167.3;4;41.75;148.2666667
7.554;7.7234;1.162885583;34.686;27.65191915;45.68437025;4113.452;0.082;2346.29;2441.91;225.4624706;2.07407448;0.719091258;2.24505;0.788264017;2.605427813;38.90995024;164.4;4;41.75;148.2666667
7.5427;7.7236;1.186974783;34.683;27.64787232;45.68407045;3803.738;0.01;2359.38;2441.07;228.324241;2.024490793;0.747724064;2.07659443;0.770185322;2.598970743;39.33831666;166.3;4;41.75;148.2666667
7.5172;7.7148;1.263205137;34.672;27.63381626;45.67129728;3307.421;-0.069;2364.54;2436.07;237.1382748;1.913962821;0.781535795;1.955794334;0.80152785;-999;-999;-999;4;41.75;148.2666667
7.4947;7.701;1.342562552;34.662;27.62026804;45.654556;3004.285;-0.118;2366.18;2433.58;246.0336341;1.822524267;0.790092337;1.907707247;0.833468166;2.728112146;41.12317677;164.4;4;41.75;148.2666667
7.4644;7.6777;1.452510976;34.648;27.60125519;45.62889201;2696.709;-0.19;2373.75;2433.53;257.9195473;1.70807897;0.785294789;1.823817741;0.848091267;-999;-999;-999;4;41.75;148.2666667
7.4319;7.6508;1.591482012;34.632;27.57836731;45.59576861;2402.475;-0.334;2378.47;2434.5;270.5842557;1.593382018;0.774327951;1.784238554;0.88437998;2.944423997;42.40827604;170.2;4;41.75;148.2666667
7.395;7.6186;1.761562294;34.607;27.54571868;45.54974292;2102.511;-0.416;2392.86;2437.51;284.4220606;1.472869023;0.756768535;1.667820251;0.876013362;-999;-999;-999;4;41.75;148.2666667
7.353;7.578;1.941445331;34.573;27.50479394;45.4938742;1852.923;-0.496;2403.05;2424.73;298.5246355;1.336922299;0.716852082;1.440052354;0.782506505;3.063879795;42.90803687;168.3;4;41.75;148.2666667
7.3157;7.5406;2.152646458;34.533;27.45620443;45.42645612;1649.581;-0.569;2404.87;2414.99;310.8865612;1.226867723;0.681048196;1.333911017;0.751476884;3.215620944;42.76524806;162.5;4;41.75;148.2666667
7.2895;7.5157;2.400063785;34.484;27.39693142;45.34484103;1450.143;-0.704;2404.45;2402.77;319.5222228;1.151821544;0.664822843;1.231583961;0.719060261;-999;-999;-999;4;41.75;148.2666667
7.2823;7.5109;2.625786291;34.439;27.34201624;45.26929776;1300.358;-0.674;2397.18;2398.5;320.5842271;1.131040443;0.675833349;1.25268729;0.761484327;3.186564128;46.47775707;150;4;41.75;148.2666667
7.2786;7.5105;2.82377483;34.389;27.28501818;45.19499948;1151.708;-0.659;2387.58;2386.1;318.1147052;1.11526104;0.69028175;1.223500058;0.768912527;3.04773712;41.62293759;143.3;4;41.75;148.2666667
7.2783;7.5128;3.125225776;34.328;27.2094169;45.09175097;1000.034;-0.679;2379.65;2373.11;313.2415348;1.107450301;0.712105035;1.17743319;0.764582668;-999;-999;-999;4;41.75;148.2666667
7.2814;7.5173;3.525241356;34.251;27.11067232;44.95602381;849.349;-0.654;2361.3;2357.12;305.2167969;1.106217636;0.740260479;1.18594812;0.802303742;3.144593172;45.33544661;119.4;4;41.75;148.2666667
7.2956;7.5324;3.92378323;34.177;27.01269256;44.82099039;749;-0.594;2341.54;2341.15;292.3643725;1.132188817;0.782062339;1.205785061;0.840992318;3.028365909;45.2640522;107;4;41.75;148.2666667
7.5631;7.7069;1.149378215;34.688;27.65443917;45.67444757;4734.712;0.162;2328.28;2451.97;222.8292666;2.123052574;0.646299065;2.610468012;0.819902935;2.611884883;38.90995024;171.7;5;49.83333333;149.65
7.5619;7.7151;1.151841672;34.687;27.65347214;45.67841353;4508.852;0.158;2332.53;2434.27;222.7561409;2.102138538;0.670841675;2.31596034;0.750496465;2.444001059;36.4825405;169.8;5;49.83333333;149.65
7.5565;7.7223;1.16011372;34.685;27.6513095;45.68215273;4201.564;0.224;-999;2436.56;223.6024429;2.08034319;0.707749848;-999;-999;2.734569217;37.76763977;167.9;5;49.83333333;149.65
7.5498;7.7275;1.178881159;34.682;27.64762849;45.68276098;3900.318;0.211;-999;2438.75;225.7349932;2.053004919;0.743810869;-999;-999;2.628027559;39.9094719;165;5;49.83333333;149.65
7.5307;7.7224;1.225297335;34.676;27.63964048;45.67762527;3500.174;0.112;2348.74;2435.81;231.276511;1.969335139;0.773719396;2.13725215;0.85086501;2.66676998;37.69624537;165;5;49.83333333;149.65
7.4943;7.7005;1.340642479;34.66;27.61880662;45.65338989;3002.001;-0.093;2340.4;2428.65;245.5485143;1.81718318;0.787626351;2.147004301;0.955999456;2.834653804;40.40923272;167.9;5;49.83333333;149.65
7.4351;7.6508;1.530920697;34.632;27.58280703;45.60531023;2505.59;-0.298;2362.22;2431.66;268.1350211;1.6024846;0.760848893;1.929833044;0.945873676;2.937966927;41.90851521;171.7;5;49.83333333;149.65
7.3957;7.6161;1.690217546;34.607;27.5510937;45.56156385;2197.399;-0.414;2379.53;2429.62;283.3426257;1.470268392;0.738490272;1.718707073;0.887459809;2.925052787;43.26500889;171.7;5;49.83333333;149.65
7.3702;7.5936;1.808252047;34.586;27.52542851;45.52666125;1993.654;-0.403;-999;2425.65;291.8731463;1.388585182;0.724377118;-999;-999;3.002537629;43.26500889;170.8;5;49.83333333;149.65
